Fabricante;Modelo;Anno;Detalle
BMW;F18;2011;5 Series long wheelbase
BMW;X6 M;2015;Sports Activity Coupe
Mazda;CX-5;2012;Compact crossover SUV
Mazda;Mazda 6;2014;Family sedan
Mitsubishi;Lancer;2013;Small sedan
Mitsubishi;Pajero;2008;Sophisticated full-time dual-range 4WD
Mitsubishi;Eclipse;2010;Sport coupe
Nissan;Sentra;2007;Compact
Nissan;X-Trail;2015;Mid-size crossover
Nissan;Terrano;2012;Crossover
Nissan;Murano;2015;Mid-size crossover
Toyota;Yaris;2008;Subcompact
Toyota;Prius;2011;Full hybrid electric mid-size hatchback
Toyota;Camry;2015;Mid-size sedan
Toyota;Corolla;2010;Compact
Volkswagen;Golf;2011;Compact
Volkswagen;Fox;2013;Hatchback
